产品分类,产品名称,产地,单价,月度销量,上市季节,产销等级
粮食类,五常寒地大米,黑龙江五常,6.8 元 / 斤,旺季（10 - 次年 2 月）160-220 万斤，平季（3-9 月）70-110 万斤,10 月下旬 - 次年 9 月，全年可流通,基础高销级，优质高端级
粮食类,海伦富硒大豆,黑龙江海伦,5.2 元 / 斤,旺季（11 - 次年 3 月）110-180 万斤，平季（4-10 月）45-75 万斤,10 月上市，全年可售,基础高销级，优质有机级
粮食类,鲜食糯玉米,吉林松原,2.8 元 / 根,旺季（7-10 月）220-320 万根，平季（11 - 次年 6 月冷冻货源）90-150 万根,鲜品 7-10 月；冷冻全年供应,基础高销级，优质流通级
杂粮类,宝清红小豆,黑龙江宝清,4.6 元 / 斤,旺季（11 - 次年 4 月）70-130 万斤，平季（5-10 月）30-55 万斤,10 月收获，全年可流通,基础高销级，优质杂粮级
林下菌类,尚志黑木耳,黑龙江尚志,38 元 / 斤,旺季（9 - 次年 2 月）45-85 万斤，平季（3-8 月）22-38 万斤,9 月采摘，干品全年储存可售,基础高销级，优质林下高端级
林下菌类,长白山榛蘑,吉林长白山,32 元 / 斤,旺季（10 - 次年 3 月）32-68 万斤，平季（4-9 月）18-32 万斤,9-10 月采收，干品全年可售,基础高销级，优质生态高端级
浆果类,大兴安岭蓝莓,黑龙江大兴安岭,22 元 / 斤,旺季（7-8 月）28-52 万斤，平季冷冻货源全年少量供货,鲜果 7-8 月；冷冻全年流通,基础高销级，精品鲜果级
经济作物,长白山人参（鲜参）,吉林抚松,160 元 / 斤,旺季（9-11 月）3.6-7.2 万斤，平季（12 - 次年 8 月）1.2-2.8 万斤,9 月下旬 —11 月采挖,基础高销级，名贵林下高端级
坚果类,平欧大榛子,辽宁丹东,26 元 / 斤,旺季（10 - 次年 2 月）40-80 万斤，平季（3-9 月）16-35 万斤,10 月成熟，全年流通,基础高销级，优质特产级
坚果类,红松松子,大小兴安岭（黑 / 吉）,85 元 / 斤,旺季（11 - 次年 3 月）12-26 万斤，平季（4-10 月）5-12 万斤,10 月采收，干品全年销售,基础高销级，精品特产级
畜禽类,林下散养肉鸡,黑龙江伊春,15 元 / 斤,旺季（9 - 次年 2 月）80-160 万斤，平季（3-8 月）35-65 万斤,全年养殖，秋冬需求高峰,基础高销级，生态畜禽级
果蔬类,盘锦寒地草莓,辽宁盘锦,18 元 / 斤,旺季（12 - 次年 4 月）60-120 万斤，淡季（5-11 月）15-35 万斤,12 月 — 次年 4 月上市,基础高销级，精品果蔬级
果蔬类,大连美早大樱桃,辽宁大连,35 元 / 斤,旺季（5-6 月）40-75 万斤，平季（7 - 次年 4 月）10-20 万斤,5 月中下旬 —6 月中下旬成熟,基础高销级，精品时令级
水产类,兴凯湖大白鱼,黑龙江密山,28 元 / 斤,旺季（10 - 次年 3 月）18-35 万斤，平季（4-9 月）8-18 万斤,秋冬捕捞为主，冰鲜全年流通,基础高销级，生态名贵水产级
杂粮类,克山高蛋白大豆,黑龙江克山,5.5 元 / 斤,旺季（11 - 次年 3 月）90-160 万斤，平季（4-10 月）40-70 万斤,10 月收获，全年可流通,基础高销级，优质粮油级
